id,choice,L_prob,R_prob,L_effort,R_effort,L_PD,R_PD,L_ED,R_ED,H,L_SV,R_SV,diff_SV,diff_prob,diff_effort,H_dichotomized,diff_ED,diff_PD
"1",0,70,50,25,10,.294892,.207391,.18394,.33516,.991076,1.627269,2.08528,.4580108,-20,-15,"High",.1512203,.0875002
"2",0,60,50,15,20,.486752,.40657,.60241,.531915,0,8.796727,6.487813,-2.308914,-10,5,"Low",.0704948,.0801826
"2",0,60,50,30,10,.486752,.40657,.431034,.694444,.503258,6.29421,8.470201,2.175991,-10,-20,"Low",.2634099,.0801826
"2",0,60,50,15,10,.486752,.40657,.60241,.694444,0,8.796727,8.470201,-.3265266,-10,-5,"Low",.0920348,.0801826
"2",0,60,50,30,10,.486752,.40657,.431034,.694444,.503258,6.29421,8.470201,2.175991,-10,-20,"Low",.2634099,.0801826
"2",1,30,70,25,30,.283654,.582748,.47619,.431034,0,4.0522,7.535537,3.483337,40,5,"Low",.045156,.2990942
"2",0,70,60,20,10,.582748,.486752,.531915,.694444,0,9.299174,10.14067,.8414974,-10,-10,"Low",.1625295,.095996
"2",1,30,50,20,30,.283654,.40657,.531915,.431034,0,4.526394,5.257366,.7309718,20,10,"Low",.1008804,.1229156
"2",0,70,60,25,20,.582748,.486752,.47619,.531915,0,8.324975,7.767323,-.557652,-10,-5,"Low",.0557244,.095996
"2",0,50,30,20,10,.40657,.283654,.531915,.694444,0,6.487813,5.909459,-.5783548,-20,-10,"Low",.1625295,.1229156
"2",0,50,30,30,20,.40657,.283654,.431034,.531915,0,5.257366,4.526394,-.7309718,-20,-10,"Low",.1008804,.1229156
"2",1,30,70,30,15,.283654,.582748,.431034,.60241,0,3.66794,10.5316,6.863655,40,-15,"Low",.1713752,.2990942
"2",0,40,30,30,30,.339596,.283654,.431034,.431034,0,4.391321,3.66794,-.723381,-10,0,"Low",0,.0559415
"2",0,60,40,20,15,.486752,.339596,.531915,.60241,0,7.767323,6.137269,-1.630054,-20,-5,"Low",.0704948,.1471567
"2",1,60,70,10,20,.486752,.582748,.694444,.531915,0,10.14067,9.299174,-.8414974,10,10,"Low",.1625295,.095996
"2",1,50,70,10,15,.40657,.582748,.694444,.60241,0,8.470201,10.5316,2.061395,20,5,"Low",.0920348,.1761786
"2",1,30,40,30,30,.283654,.339596,.431034,.431034,0,3.66794,4.391321,.723381,10,0,"Low",0,.0559415
"2",0,60,50,15,20,.486752,.40657,.60241,.531915,0,8.796727,6.487813,-2.308914,-10,5,"Low",.0704948,.0801826
"2",1,50,70,10,15,.40657,.582748,.694444,.60241,0,8.470201,10.5316,2.061395,20,5,"Low",.0920348,.1761786
"2",1,30,70,30,15,.283654,.582748,.431034,.60241,0,3.66794,10.5316,6.863655,40,-15,"Low",.1713752,.2990942
"2",1,60,70,25,30,.486752,.582748,.47619,.431034,0,6.953603,7.535537,.581934,10,5,"Low",.045156,.095996
"2",0,50,40,15,10,.40657,.339596,.60241,.694444,0,7.347645,7.074906,-.2727385,-10,-5,"Low",.0920348,.0669741
"2",0,70,30,30,25,.582748,.283654,.431034,.47619,0,7.535537,4.0522,-3.483337,-40,-5,"Low",.045156,.2990942
